Nazwa:;Symbol:;Strefa:
Os. Dêbina;OSDE02;A
Os. Jagie³³y;OJLY01;A
Os. Jagie³³y;OJLY02;A
Os. Kopernika;OSKO01;A
Os. Kopernika;OSKO02;A
Os. Kosmonautów;OKOS01;A
Os. Kosmonautów;OKOS02;A
Os. Kwiatowe;KWIA01;A
Os. Kwiatowe;KWIA02;A
Os. Lecha;OSLE41;A
Os. Lecha;OSLE42;A
Os. Lecha I;L I01;A
Os. Lecha I;L I02;A
Os. Lecha I;L I04;A
Os. Lecha II;L II02;A
Os. Lubczykowa Góra;LUGO01;A
Os. Lubczykowa Góra;LUGO02;A
Os. £okietka;OLOK02;A
Os. £okietka I;OSLO01;A
Os. £okietka I;OSLO02;A
Os. Marysieñki I;OM I01;A
Os. Marysieñki I;OM I02;A
Os. Marysieñki II;OMII01;A
Os. Marysieñki II;OMII02;A
Os. Or³a Bia³ego;OOB02;A
Os. Or³a Bia³ego I;OB I01;A
Os. Or³a Bia³ego I;OB I02;A
Os. Or³a Bia³ego II;OBII01;A
Os. Or³a Bia³ego II;OBII02;A
Os. Or³a Bia³ego III;OBNZ02;A
Os. Oœwiecenia;OSWI01;A
Os. Oœwiecenia;OSWI02;A
Os. Piastowskie;OPIA01;A
Os. Piastowskie;OPIA02;A
Os. Piastowskie;OPIA41;A
Os. Piastowskie;OPIA42;A
Os. Pod Lipami;OPL01;A
Os. Pod Lipami;OPL02;A
Os. Pod Lipami;OPL03;A
Os. Pod Lipami;OPL41;A
Os. Pod Lipami;OPL42;A
Os. Polan;OSPO01;A
Os. Powstañców W-wy;OPW02;A
Os. Przemys³awa;PRZM01;A
Os. Przemys³awa;PRZM02;A
Os. PrzyjaŸni;OPRZ01;A
Os. PrzyjaŸni;OPRZ02;A
Os. Ró¿any Potok;ORP02;A
Os. Rusa;RUSA01;A
Os. Rusa;RUSA02;A
Os. Rusa/Szpital;R SZ01;A
Os. Rusa/Szpital;R SZ02;A
Os. Rusa/Szpital;R SZ04;A
Os. Rzeczypospolitej;ORZE01;A
Os. Rzeczypospolitej;ORZE02;A
Os. Rzeczypospolitej;ORZE41;A
Os. Rzeczypospolitej;ORZE42;A
Os. S³owiañskie;OSSL01;A
Os. S³owiañskie;OSSL02;A
Os. Sobieskiego;SOB01;A
Os. Sobieskiego;SOB30;A
Os. Sobieskiego;SOB42;A
Os. Sobieskiego I;SO I01;A
Os. Sobieskiego I;SO I02;A
Os. Sobieskiego II;SOII01;A
Os. Stare ¯egrze;SZII01;A
Os. Stare ¯egrze;SZII02;A
Os. Tysi¹clecia;OSTY41;A
Os. Tysi¹clecia;OSTY42;A
Os. Tysi¹clecia I;OT I01;A
Os. Tysi¹clecia I;OT I02;A
Os. Wichrowe Wzgórze;OWW01;A
Os. Wichrowe Wzgórze;OWW02;A
Os. Winiary;WINI01;A
Os. Winiary;WINI02;A
Os. Winiary;WINI41;A
Os. Winiary;WINI42;A
Os. Zodiak;OSZO01;A
Os. Zodiak;OSZO02;A
Os. Zwyciêstwa;OSZW01;A
Os. Zwyciêstwa;OSZW02;A
Os. Zygmunta Starego;OSZY01;A
Os. Zygmunta Starego;OSZY02;A
Ostatnia;OSIA01;A
Ostatnia;OSIA02;A
Ostroroga;OSTR01;A
Ostroroga;OSTR02;A
Ostroroga;OSTR41;A
Ostroroga;OSTR42;A
Ostrowska;OSNZ01;A
Ostrowska;OSNZ02;A
Owcza;OWCZ01;A
Owcza;OWCZ02;A
Owiñska Gospodarstwo Ogrodnicze;OWOGR01;C
Owiñska Gospodarstwo Ogrodnicze;OWOGR02;C
Owiñska Ks. Piotrowskiego;OWKSP01;C
Owiñska Ks. Piotrowskiego;OWKSP02;C
Owiñska Pa³ac;OWPAL01;C
Owiñska Pa³ac;OWPAL02;C
Ozimina;OZIM01;A
Ozimina;OZIM02;A
O¿arowska;OZAR01;A
O¿arowska;OZAR02;A
Palacza;PALA01;A
Palacza;PALA02;A
Palmiarnia;PALM01;A
Palmiarnia;PALM02;A
Pami¹tkowa;PAMI71;A
Pami¹tkowa;PAMI72;A
Park Wilsona;PAWI01;A
Park Wilsona;PAWI02;A
